                leaf          error rate             true nn           subdomain
               0.001              0.9962              0.1434             2919.92
               0.002              0.9967              0.1763             5839.84
               0.004              0.9968              0.2156             11679.7
               0.006              0.9968              0.2156             11679.7
               0.008              0.9971              0.2645             23359.4
                0.01              0.9971              0.2645             23359.4
               0.015              0.9971              0.2645             23359.4
                0.02              0.9972              0.3244             46718.7
                0.03              0.9972              0.3244             46718.7
                0.05              0.9967              0.3947             93437.5
