                leaf          error rate             true nn           subdomain
               0.015              0.0614              0.8127             468.748
                0.03              0.0513              0.8822             937.489
                0.06              0.0463              0.9327             1874.98
                0.09               0.043              0.9661                3750
                 0.1               0.043              0.9661                3750
                0.13              0.0388              0.9859                7500
                0.15              0.0388              0.9859                7500
                0.17              0.0388              0.9859                7500
                0.19              0.0388              0.9859                7500
                0.21              0.0388              0.9859                7500
