                leaf          error rate             true nn           subdomain
               0.015              0.0413              0.9869             468.764
                0.03              0.0392              0.9943             937.522
                0.06              0.0363              0.9974                1875
                0.09              0.0342              0.9991             3749.99
                 0.1              0.0342              0.9991             3749.99
                0.13              0.0321              0.9998                7500
                0.15              0.0321              0.9998                7500
                0.17              0.0321              0.9998                7500
                0.19              0.0321              0.9998                7500
                0.21              0.0321              0.9998                7500
