                leaf          error rate             true nn           subdomain
               0.015              0.0449              0.9632             468.819
                0.03              0.0404              0.9859             937.513
                0.06              0.0364              0.9949             1875.01
                0.09              0.0344              0.9986             3749.98
                 0.1              0.0344              0.9986             3749.98
                0.13              0.0334              0.9999             7499.98
                0.15              0.0334              0.9999             7499.98
                0.17              0.0334              0.9999             7499.98
                0.19              0.0334              0.9999             7499.98
                0.21              0.0334              0.9999             7499.98
