                leaf          error rate             true nn           subdomain
               0.015              0.0379              0.9814             468.788
                0.03              0.0363              0.9898             937.547
                0.06              0.0353              0.9946             1875.03
                0.09              0.0343               0.997                3750
                 0.1              0.0343               0.997                3750
                0.13              0.0333              0.9986                7500
                0.15              0.0333              0.9986                7500
                0.17              0.0333              0.9986                7500
                0.19              0.0333              0.9986                7500
                0.21              0.0333              0.9986                7500
