                leaf          error rate             true nn           subdomain
               0.015              0.0351              0.9978             468.817
                0.03              0.0351              0.9988              937.53
                0.06              0.0338              0.9995             1875.03
                0.09              0.0324                   1             3749.99
                 0.1              0.0324                   1             3749.99
                0.13              0.0315                   1                7500
                0.15              0.0315                   1                7500
                0.17              0.0315                   1                7500
                0.19              0.0315                   1                7500
                0.21              0.0315                   1                7500
