                leaf          error rate             true nn           subdomain
               0.015               0.045              0.9465             468.762
                0.03              0.0437              0.9663             937.507
                0.06              0.0411              0.9777             1874.98
                0.09              0.0387              0.9866                3750
                 0.1              0.0387              0.9866                3750
                0.13              0.0366              0.9917                7500
                0.15              0.0366              0.9917                7500
                0.17              0.0366              0.9917                7500
                0.19              0.0366              0.9917                7500
                0.21              0.0366              0.9917                7500
