                leaf          error rate             true nn           subdomain
               0.001                   0              0.0547             929.301
               0.002                   0              0.0748              1858.6
               0.004                   0              0.1021             3717.16
               0.006                   0              0.1021             3717.16
               0.008                   0              0.1438             7434.32
                0.01                   0              0.1438             7434.32
               0.015                   0              0.1438             7434.32
                0.02                   0              0.1997             14868.6
                0.03                   0              0.1997             14868.6
                0.05                   0              0.2822             29737.3
