                leaf          error rate             true nn           subdomain
               0.001              0.9854              0.4694             972.798
               0.002              0.9845              0.5768             1945.62
               0.004              0.9847              0.6796             3891.27
               0.006              0.9847              0.6796             3891.27
               0.008              0.9847              0.7721             7782.56
                0.01              0.9847              0.7721             7782.56
               0.015              0.9847              0.7721             7782.56
                0.02              0.9843               0.838             15565.1
                0.03              0.9843               0.838             15565.1
                0.05              0.9842              0.8794             31130.3
