                leaf          error rate             true nn           subdomain
               0.001              0.9837               0.522             972.861
               0.002              0.9831              0.6305             1945.68
               0.004              0.9818              0.7313             3891.31
               0.006              0.9818              0.7313             3891.31
               0.008              0.9819              0.8069             7782.61
                0.01              0.9819              0.8069             7782.61
               0.015              0.9819              0.8069             7782.61
                0.02              0.9816              0.8576             15565.2
                0.03              0.9816              0.8576             15565.2
                0.05              0.9825              0.8874             31130.4
