                leaf          error rate             true nn           subdomain
               0.001              0.9886               0.343             972.856
               0.002              0.9868              0.4648             1945.65
               0.004              0.9862              0.5901             3891.29
               0.006              0.9862              0.5901             3891.29
               0.008              0.9853              0.7168              7782.6
                0.01              0.9853              0.7168              7782.6
               0.015              0.9853              0.7168              7782.6
                0.02              0.9851              0.8216             15565.2
                0.03              0.9851              0.8216             15565.2
                0.05              0.9847              0.8754             31130.4
