                leaf          error rate             true nn           subdomain
               0.001              0.9843              0.6455             972.723
               0.002              0.9833              0.7486             1945.55
               0.004              0.9822              0.8251             3891.17
               0.006              0.9822              0.8251             3891.17
               0.008              0.9825              0.8726             7782.49
                0.01              0.9825              0.8726             7782.49
               0.015              0.9825              0.8726             7782.49
                0.02              0.9836              0.8955             15565.1
                0.03              0.9836              0.8955             15565.1
                0.05              0.9836              0.9016             31130.2
