                leaf          error rate             true nn           subdomain
                0.01              0.9867               0.266             781.218
               0.013              0.9867               0.266             781.218
               0.015              0.9867               0.266             781.218
                0.02              0.9863              0.3605             1562.46
                0.03              0.9863              0.3605             1562.46
                0.05               0.987              0.4557             3124.95
                0.08              0.9854              0.5604             6249.96
                 0.1              0.9854              0.5604             6249.96
                0.13              0.9854              0.6638               12500
                0.15              0.9854              0.6638               12500
