                leaf          error rate             true nn           subdomain
                0.01              0.9867              0.3337             781.199
               0.013              0.9867              0.3337             781.199
               0.015              0.9867              0.3337             781.199
                0.02               0.986              0.4308             1562.42
                0.03               0.986              0.4308             1562.42
                0.05              0.9855              0.5405             3124.92
                0.08              0.9857              0.6418             6249.94
                 0.1              0.9857              0.6418             6249.94
                0.13              0.9854               0.732             12499.9
                0.15              0.9854               0.732             12499.9
