                leaf          error rate             true nn           subdomain
               0.001               0.987              0.0013             966.762
               0.002              0.9858              0.0015             1933.57
               0.004              0.9856               0.002             3867.15
               0.006              0.9856               0.002             3867.15
               0.008               0.986              0.0023             7734.36
                0.01               0.986              0.0023             7734.36
               0.015               0.986              0.0023             7734.36
                0.02              0.9859              0.0028             15468.7
                0.03              0.9859              0.0028             15468.7
                0.05               0.986              0.0029             30937.5
