                leaf          error rate             true nn           subdomain
               0.001              0.9884              0.0987             966.806
               0.002              0.9884              0.1284              1933.6
               0.004              0.9867              0.1677             3867.21
               0.006              0.9867              0.1677             3867.21
               0.008              0.9862              0.2183             7734.39
                0.01              0.9862              0.2183             7734.39
               0.015              0.9862              0.2183             7734.39
                0.02               0.986              0.2773             15468.8
                0.03               0.986              0.2773             15468.8
                0.05              0.9857              0.3484             30937.5
