                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                0.05               0.985               0.192             762.682             3.14137
               0.002                0.05              0.9837               0.236             1387.33             2.85561
               0.004                0.05               0.984              0.2882             2522.67             2.59451
               0.006                0.05              0.9837              0.3464             4587.33              2.3586
               0.008                0.05              0.9837              0.3464             4587.33              2.3586
                0.01                0.05              0.9843              0.4119             8340.75             2.14376
               0.015                0.05              0.9843              0.4119             8340.75             2.14376
                0.02                0.05              0.9841              0.4877             15165.5             1.94884
                0.03                0.05              0.9828              0.5698             27574.1             1.77165
                0.05                0.05              0.9828              0.5698             27574.1             1.77165
