                leaf          error rate             true nn           subdomain
               0.001              0.9888              0.0483             966.802
               0.002              0.9891              0.0664             1933.59
               0.004              0.9877              0.0944             3867.19
               0.006              0.9877              0.0944             3867.19
               0.008              0.9866              0.1323             7734.38
                0.01              0.9866              0.1323             7734.38
               0.015              0.9866              0.1323             7734.38
                0.02              0.9866              0.1831             15468.8
                0.03              0.9866              0.1831             15468.8
                0.05              0.9859              0.2552             30937.5
