                leaf          error rate             true nn           subdomain
               0.001               0.987              0.1505             966.749
               0.002              0.9863              0.2019             1933.53
               0.004              0.9843              0.2665             3867.14
               0.006              0.9843              0.2665             3867.14
               0.008              0.9844               0.343             7734.31
                0.01              0.9844               0.343             7734.31
               0.015              0.9844               0.343             7734.31
                0.02              0.9849               0.435             15468.7
                0.03              0.9849               0.435             15468.7
                0.05              0.9843              0.5297             30937.4
