                leaf          error rate             true nn           subdomain
               0.001                   0              0.1945             928.893
               0.002                   0              0.2587             1857.77
               0.004                   0              0.3312             3715.53
               0.006                   0              0.3312             3715.53
               0.008                   0              0.4232             7431.05
                0.01                   0              0.4232             7431.05
               0.015                   0              0.4232             7431.05
                0.02                   0              0.5251             14862.1
                0.03                   0              0.5251             14862.1
                0.05                   0              0.6262             29724.2
