                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                0.05                   0              0.2034             728.618             3.14218
               0.002                0.05                   0              0.2443             1325.25             2.85594
               0.004                0.05                   0              0.2996             2409.88             2.59445
               0.006                0.05                   0              0.3534             4381.74             2.35825
               0.008                0.05                   0              0.3534             4381.74             2.35825
                0.01                0.05                   0               0.419              7967.5             2.14384
               0.015                0.05                   0               0.419              7967.5             2.14384
                0.02                0.05                   0              0.4962               14487             1.94893
                0.03                0.05                   0              0.5812             26340.3             1.77165
                0.05                0.05                   0              0.5812             26340.3             1.77165
