                leaf          error rate             true nn           subdomain
               0.001                   0              0.0441             928.886
               0.002                   0               0.063             1857.75
               0.004                   0              0.0894             3715.53
               0.006                   0              0.0894             3715.53
               0.008                   0              0.1224             7431.04
                0.01                   0              0.1224             7431.04
               0.015                   0              0.1224             7431.04
                0.02                   0              0.1732             14862.1
                0.03                   0              0.1732             14862.1
                0.05                   0              0.2405             29724.2
