                leaf          error rate             true nn           subdomain
               0.001                   0              0.0616             928.913
               0.002                   0              0.0815             1857.79
               0.004                   0              0.1057             3715.53
               0.006                   0              0.1057             3715.53
               0.008                   0              0.1375             7431.06
                0.01                   0              0.1375             7431.06
               0.015                   0              0.1375             7431.06
                0.02                   0              0.1829             14862.1
                0.03                   0              0.1829             14862.1
                0.05                   0              0.2373             29724.2
