                leaf          error rate             true nn           subdomain
               0.001                   0              0.0805             928.921
               0.002                   0              0.1048             1857.83
               0.004                   0              0.1383             3715.58
               0.006                   0              0.1383             3715.58
               0.008                   0              0.1783             7431.06
                0.01                   0              0.1783             7431.06
               0.015                   0              0.1783             7431.06
                0.02                   0              0.2298             14862.1
                0.03                   0              0.2298             14862.1
                0.05                   0              0.2972             29724.2
