                leaf          error rate             true nn           subdomain
               0.001                   0              0.1479             928.885
               0.002                   0              0.1944             1857.76
               0.004                   0              0.2592             3715.52
               0.006                   0              0.2592             3715.52
               0.008                   0              0.3347             7431.06
                0.01                   0              0.3347             7431.06
               0.015                   0              0.3347             7431.06
                0.02                   0              0.4225             14862.1
                0.03                   0              0.4225             14862.1
                0.05                   0              0.5243             29724.2
