                leaf          error rate             true nn           subdomain
               0.001                   0              0.0345             928.878
               0.002                   0              0.0488             1857.76
               0.004                   0               0.068             3715.52
               0.006                   0               0.068             3715.52
               0.008                   0              0.0968             7431.04
                0.01                   0              0.0968             7431.04
               0.015                   0              0.0968             7431.04
                0.02                   0              0.1382             14862.1
                0.03                   0              0.1382             14862.1
                0.05                   0              0.1986             29724.2
