                leaf          error rate             true nn           subdomain
               0.015              0.5227              0.2717             390.627
                0.03              0.5053              0.3362             781.246
                0.06              0.4906              0.4238             1562.49
                0.09              0.4744              0.5142                3125
                0.13              0.4587              0.6392                6250
