                leaf          error rate             true nn           subdomain
               0.015              0.5005              0.3889             781.248
                0.03              0.4873               0.464              1562.5
               0.045              0.4777              0.5563             3124.99
                0.06              0.4777              0.5563             3124.99
               0.075              0.4636              0.6484                6250
                0.09              0.4636              0.6484                6250
               0.105              0.4636              0.6484                6250
                0.12              0.4636              0.6484                6250
               0.135                0.45              0.7539               12500
                0.15                0.45              0.7539               12500
