                leaf          error rate             true nn           subdomain
               0.015              0.4932              0.3879             781.243
                0.03              0.4798              0.4725             1562.49
               0.045              0.4696              0.5667             3124.99
                0.06              0.4696              0.5667             3124.99
               0.075              0.4532              0.6809                6250
                0.09              0.4532              0.6809                6250
               0.105              0.4532              0.6809                6250
                0.12              0.4532              0.6809                6250
               0.135              0.4412              0.8024               12500
                0.15              0.4412              0.8024               12500
