                leaf          error rate             true nn           subdomain
               0.015              0.4966              0.3631             781.253
                0.03               0.489              0.4213              1562.5
               0.045              0.4752              0.4819             3124.99
                0.06              0.4752              0.4819             3124.99
               0.075              0.4686              0.5605                6250
                0.09              0.4686              0.5605                6250
               0.105              0.4686              0.5605                6250
                0.12              0.4686              0.5605                6250
               0.135              0.4575              0.6387               12500
                0.15              0.4575              0.6387               12500
