                leaf          error rate             true nn           subdomain
               0.015              0.4593              0.6273             1562.51
                0.03              0.4593              0.6273             1562.51
                0.06              0.4499              0.7089             3124.99
                0.09               0.445              0.7853             6249.98
                 0.1               0.445              0.7853             6249.98
                0.13              0.4382              0.8614               12500
                0.15              0.4382              0.8614               12500
                0.17              0.4382              0.8614               12500
                0.19              0.4382              0.8614               12500
                0.21              0.4382              0.8614               12500
