                leaf          error rate             true nn           subdomain
               0.015              0.4908              0.4233             781.252
                0.03              0.4819               0.496             1562.51
               0.045                0.47              0.5653                3125
                0.06                0.47              0.5653                3125
               0.075              0.4606              0.6502                6250
                0.09              0.4606              0.6502                6250
               0.105              0.4606              0.6502                6250
                0.12              0.4606              0.6502                6250
               0.135              0.4497              0.7339               12500
                0.15              0.4497              0.7339               12500
