                leaf          error rate             true nn           subdomain
               0.015              0.4709              0.5696             390.651
                0.03              0.4577              0.6671             781.284
                0.06              0.4484              0.7609             1562.52
                0.09              0.4426               0.843             3125.01
                 0.1              0.4426               0.843             3125.01
                0.13              0.4365              0.9093                6250
                0.15              0.4365              0.9093                6250
                0.17              0.4365              0.9093                6250
                0.19              0.4365              0.9093                6250
                0.21              0.4365              0.9093                6250
