                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                0.05                   0              0.3692             754.628             3.14226
               0.002                0.05                   0              0.4154             1372.27             2.85546
               0.004                0.05                   0              0.4659             2495.55             2.59465
               0.006                0.05                   0              0.5267             4538.07             2.35877
               0.008                0.05                   0              0.5267             4538.07             2.35877
                0.01                0.05                   0              0.5839             8251.15             2.14394
               0.015                0.05                   0              0.5839             8251.15             2.14394
                0.02                0.05                   0              0.6451             15002.3             1.94884
                0.03                0.05                   0              0.7071             27277.6             1.77161
                0.05                0.05                   0              0.7071             27277.6             1.77161
