                leaf          error rate             true nn           subdomain
               0.001                   0               0.368             962.383
               0.002                   0              0.4371             1924.75
               0.004                   0              0.5092             3849.49
               0.006                   0              0.5092             3849.49
               0.008                   0              0.5857             7698.94
                0.01                   0              0.5857             7698.94
               0.015                   0              0.5857             7698.94
                0.02                   0               0.668             15397.9
                0.03                   0               0.668             15397.9
                0.05                   0              0.7435             30795.7
