                leaf          error rate             true nn           subdomain
               0.001                   0              0.2651             962.383
               0.002                   0              0.3207             1924.75
               0.004                   0              0.3886             3849.46
               0.006                   0              0.3886             3849.46
               0.008                   0              0.4596             7698.91
                0.01                   0              0.4596             7698.91
               0.015                   0              0.4596             7698.91
                0.02                   0              0.5464             15397.8
                0.03                   0              0.5464             15397.8
                0.05                   0              0.6429             30795.7
