                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                 0.1                   0              0.3038              771.92             12.8517
               0.002                 0.1                   0              0.3403             1286.78              10.707
               0.004                 0.1                   0              0.4309             3574.81             7.43169
               0.006                 0.1                   0              0.4309             3574.81             7.43169
               0.008                 0.1                   0              0.4773             5958.45             6.19307
                0.01                 0.1                   0              0.4773             5958.45             6.19307
               0.015                 0.1                   0              0.5316             9930.83              5.1602
                0.02                 0.1                   0              0.5865             16551.6             4.30008
                0.03                 0.1                   0              0.6443             27586.2             3.58336
                0.05                 0.1                   0               0.701             45977.2             2.98607
