                leaf          error rate             true nn           subdomain
               0.001                   0              0.3222             962.365
               0.002                   0              0.3831             1924.74
               0.004                   0              0.4474             3849.46
               0.006                   0              0.4474             3849.46
               0.008                   0              0.5179             7698.92
                0.01                   0              0.5179             7698.92
               0.015                   0              0.5179             7698.92
                0.02                   0              0.5935             15397.8
                0.03                   0              0.5935             15397.8
                0.05                   0              0.6702             30795.7
