                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                0.05              0.9863              0.0721             762.669             3.14137
               0.002                0.05              0.9854              0.0895             1387.35             2.85561
               0.004                0.05              0.9857               0.112             2522.68             2.59451
               0.006                0.05              0.9845              0.1437             4587.36              2.3586
               0.008                0.05              0.9845              0.1437             4587.36              2.3586
                0.01                0.05              0.9842              0.1807              8340.8             2.14376
               0.015                0.05              0.9842              0.1807              8340.8             2.14376
                0.02                0.05              0.9842              0.2257             15165.6             1.94884
                0.03                0.05              0.9844              0.2784             27574.1             1.77165
                0.05                0.05              0.9844              0.2784             27574.1             1.77165
