                leaf          error rate             true nn           subdomain
               0.001              0.9886              0.0815             972.856
               0.002              0.9868              0.1149             1945.65
               0.004              0.9862              0.1557             3891.29
               0.006              0.9862              0.1557             3891.29
               0.008              0.9853              0.2134              7782.6
                0.01              0.9853              0.2134              7782.6
               0.015              0.9853              0.2134              7782.6
                0.02              0.9851               0.289             15565.2
                0.03              0.9851               0.289             15565.2
                0.05              0.9847              0.3892             31130.4
