                leaf          error rate             true nn           subdomain
               0.001              0.9851              0.1494             972.778
               0.002              0.9843              0.2008             1945.59
               0.004              0.9838               0.266             3891.25
               0.006              0.9838               0.266             3891.25
               0.008              0.9836              0.3437             7782.53
                0.01              0.9836              0.3437             7782.53
               0.015              0.9836              0.3437             7782.53
                0.02              0.9833              0.4388             15565.1
                0.03              0.9833              0.4388             15565.1
                0.05              0.9831              0.5387             31130.3
