                leaf          error rate             true nn           subdomain
               0.001              0.9837              0.1546             972.861
               0.002              0.9831              0.2031             1945.68
               0.004              0.9818              0.2622             3891.31
               0.006              0.9818              0.2622             3891.31
               0.008              0.9819                0.33             7782.61
                0.01              0.9819                0.33             7782.61
               0.015              0.9819                0.33             7782.61
                0.02              0.9816              0.4159             15565.2
                0.03              0.9816              0.4159             15565.2
                0.05              0.9825              0.5113             31130.4
