                leaf          error rate             true nn           subdomain
               0.015               0.507              0.2357             390.673
                0.03              0.4925               0.302             781.279
                0.06              0.4768              0.3919             1562.51
                0.09              0.4637              0.5002             3124.99
                 0.1              0.4637              0.5002             3124.99
                0.13              0.4552              0.6213             6249.99
                0.15              0.4552              0.6213             6249.99
                0.17              0.4552              0.6213             6249.99
                0.19              0.4552              0.6213             6249.99
                0.21              0.4552              0.6213             6249.99
