                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                0.05              0.5017              0.3955             418.341             1.95072
                0.03                0.05              0.4725              0.5414             1383.48             1.61088
                0.06                0.05              0.4635              0.6228             2515.89             1.46432
                0.09                0.05              0.4635              0.6228             2515.89             1.46432
                 0.1                0.05              0.4522              0.7069             4574.75             1.33104
                0.13                0.05              0.4522              0.7069             4574.75             1.33104
                0.15                0.05              0.4522              0.7069             4574.75             1.33104
                0.17                0.05              0.4421              0.7919             8318.48                1.21
                0.19                0.05              0.4421              0.7919             8318.48                1.21
                0.21                0.05              0.4421              0.7919             8318.48                1.21
