big5	[0.85379674999999999, 1.02918, 1.2373874999999999]
cifar	[0.23940299999999998, 0.30130500000000005, 0.35182100000000005]
mnist	[0.13345199999999999, 0.18750749999999999, 0.24432774999999998]
sift	[0.09906052500000001, 0.151781, 0.19843725000000001]
w2v	[0.30293049999999999, 0.37505299999999997, 0.44209875000000004]
songs	[0.28992899999999999, 0.36553250000000004, 0.43207624999999994]
