                leaf          error rate             true nn           subdomain
               0.001              0.9965               0.053             2919.92
               0.002              0.9965              0.0714             5839.85
               0.004              0.9965              0.0986             11679.7
               0.006              0.9965              0.0986             11679.7
               0.008              0.9964              0.1336             23359.4
                0.01              0.9964              0.1336             23359.4
               0.015              0.9964              0.1336             23359.4
                0.02              0.9968              0.1889             46718.7
                0.03              0.9968              0.1889             46718.7
                0.05              0.9967              0.2574             93437.5
