                leaf          error rate             true nn           subdomain
               0.001              0.9956              0.0797             2919.92
               0.002              0.9953              0.1066             5839.84
               0.004              0.9959              0.1415             11679.7
               0.006              0.9959              0.1415             11679.7
               0.008              0.9954              0.1886             23359.4
                0.01              0.9954              0.1886             23359.4
               0.015              0.9954              0.1886             23359.4
                0.02              0.9955              0.2513             46718.7
                0.03              0.9955              0.2513             46718.7
                0.05              0.9959              0.3391             93437.5
