                leaf          error rate             true nn           subdomain
               0.001              0.9964              0.1328             2919.92
               0.002              0.9962              0.1663             5839.85
               0.004              0.9964              0.2056             11679.7
               0.006              0.9964              0.2056             11679.7
               0.008              0.9961              0.2607             23359.4
                0.01              0.9961              0.2607             23359.4
               0.015              0.9961              0.2607             23359.4
                0.02              0.9962              0.3234             46718.8
                0.03              0.9962              0.3234             46718.8
                0.05               0.996              0.3952             93437.5
