                leaf          error rate             true nn           subdomain
               0.005                   0              0.1503             781.279
                0.01                   0              0.1503             781.279
               0.015                   0              0.1503             781.279
                0.02                   0              0.2148             1562.49
                0.03                   0              0.2148             1562.49
                0.05                   0              0.3003             3124.98
                0.08                   0              0.4088             6250.01
                 0.1                   0              0.4088             6250.01
                0.13                   0              0.5487               12500
                0.15                   0              0.5487               12500
