                leaf          error rate             true nn           subdomain
               0.005                   0              0.1382             390.625
                0.01                   0              0.1906             781.251
               0.015                   0              0.1906             781.251
                0.02                   0              0.2516             1562.49
                0.03                   0              0.2516             1562.49
                0.05                   0              0.3241             3124.98
                0.08                   0              0.4156             6249.98
                 0.1                   0              0.4156             6249.98
                0.13                   0              0.5291               12500
                0.15                   0              0.5291               12500
