                leaf          error rate             true nn           subdomain
               0.005                   0              0.1774             390.644
                0.01                   0              0.2406             781.266
               0.015                   0              0.2406             781.266
                0.02                   0              0.3153              1562.5
                0.03                   0              0.3153              1562.5
                0.05                   0              0.4045             3124.99
                0.08                   0              0.4971             6249.98
                 0.1                   0              0.4971             6249.98
                0.13                   0              0.6036               12500
                0.15                   0              0.6036               12500
