                leaf          error rate             true nn           subdomain
                0.01                   0              0.3668             781.284
               0.013                   0              0.3668             781.284
               0.015                   0              0.3668             781.284
                0.02                   0              0.4516             1562.53
                0.03                   0              0.4516             1562.53
                0.05                   0              0.5498             3125.01
                0.08                   0              0.6548                6250
                 0.1                   0              0.6548                6250
                0.13                   0              0.7581               12500
                0.15                   0              0.7581               12500
