                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                0.05              0.9974               0.084             2290.52             3.13981
               0.002                0.05               0.997              0.1042             4165.03             2.85419
               0.004                0.05              0.9969              0.1246             7573.04             2.59425
               0.006                0.05              0.9974              0.1507             13769.6             2.35811
               0.008                0.05              0.9974              0.1507             13769.6             2.35811
                0.01                0.05              0.9972              0.1836             25036.1             2.14372
               0.015                0.05              0.9972              0.1836             25036.1             2.14372
                0.02                0.05              0.9968              0.2233             45520.4             1.94877
                0.03                0.05              0.9963              0.2736             82764.9             1.77158
                0.05                0.05              0.9963              0.2736             82764.9             1.77158
