                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                0.05              0.9963              0.2028             2290.51             3.13981
               0.002                0.05              0.9963              0.2215             4165.03             2.85419
               0.004                0.05              0.9966              0.2432             7573.03             2.59425
               0.006                0.05              0.9963              0.2686             13769.6             2.35811
               0.008                0.05              0.9963              0.2686             13769.6             2.35811
                0.01                0.05              0.9962              0.2993             25036.1             2.14372
               0.015                0.05              0.9962              0.2993             25036.1             2.14372
                0.02                0.05              0.9969              0.3324             45520.5             1.94877
                0.03                0.05              0.9967              0.3753             82764.9             1.77158
                0.05                0.05              0.9967              0.3753             82764.9             1.77158
