                leaf          error rate             true nn           subdomain
               0.015              0.0475              0.5605             468.764
                0.03              0.0436              0.6293             937.512
                0.06              0.0396              0.6985             1875.02
                0.09              0.0377              0.7708                3750
                 0.1              0.0377              0.7708                3750
                0.13              0.0343              0.8342                7500
                0.15              0.0343              0.8342                7500
                0.17              0.0343              0.8342                7500
                0.19              0.0343              0.8342                7500
                0.21              0.0343              0.8342                7500
