                leaf          error rate             true nn           subdomain
               0.015              0.0392              0.6414             468.793
                0.03              0.0369               0.711             937.539
                0.06              0.0358              0.7702             1875.03
                0.09              0.0339              0.8227             3750.02
                 0.1              0.0339              0.8227             3750.02
                0.13              0.0337              0.8619                7500
                0.15              0.0337              0.8619                7500
                0.17              0.0337              0.8619                7500
                0.19              0.0337              0.8619                7500
                0.21              0.0337              0.8619                7500
