                leaf          error rate             true nn           subdomain
               0.015              0.0337              0.7659             468.933
                0.03               0.033              0.8311             937.603
                0.06              0.0316               0.874             1875.09
                0.09               0.032              0.9154             3750.06
                 0.1               0.032              0.9154             3750.06
                0.13              0.0318              0.9445             7500.03
                0.15              0.0318              0.9445             7500.03
                0.17              0.0318              0.9445             7500.03
                0.19              0.0318              0.9445             7500.03
                0.21              0.0318              0.9445             7500.03
