                leaf          error rate             true nn           subdomain
               0.015              0.0343              0.8339             468.822
                0.03              0.0326              0.8871             937.518
                0.06              0.0313              0.9314             1875.02
                0.09              0.0312              0.9611             3749.99
                 0.1              0.0312              0.9611             3749.99
                0.13              0.0309               0.978                7500
                0.15              0.0309               0.978                7500
                0.17              0.0309               0.978                7500
                0.19              0.0309               0.978                7500
                0.21              0.0309               0.978                7500
