                leaf          error rate             true nn           subdomain
               0.015              0.4881              0.9243             390.645
                0.03              0.4748               0.964             781.245
                0.06              0.4675              0.9828             1562.47
                0.09              0.4585              0.9938             3124.99
                 0.1              0.4585              0.9938             3124.99
                0.13              0.4509              0.9982                6250
                0.15              0.4509              0.9982                6250
                0.17              0.4509              0.9982                6250
                0.19              0.4509              0.9982                6250
                0.21              0.4509              0.9982                6250
