                leaf          error rate             true nn           subdomain
               0.015              0.5099              0.7248             390.642
                0.03              0.4938              0.8413              781.26
                0.06              0.4754              0.9247             1562.51
                0.09              0.4605               0.972                3125
                 0.1              0.4605               0.972                3125
                0.13              0.4488              0.9929             6250.01
                0.15              0.4488              0.9929             6250.01
                0.17              0.4488              0.9929             6250.01
                0.19              0.4488              0.9929             6250.01
                0.21              0.4488              0.9929             6250.01
