                leaf          error rate             true nn           subdomain
               0.015              0.5108              0.8615             390.622
                0.03              0.4952              0.9181             781.245
                0.06              0.4844              0.9608              1562.5
                0.09                0.47              0.9817             3124.99
                 0.1                0.47              0.9817             3124.99
                0.13              0.4568              0.9941                6250
                0.15              0.4568              0.9941                6250
                0.17              0.4568              0.9941                6250
                0.19              0.4568              0.9941                6250
                0.21              0.4568              0.9941                6250
