                leaf          error rate             true nn           subdomain
               0.015              0.5284              0.6133             390.627
                0.03              0.5132              0.7368             781.253
                0.06              0.4969              0.8422              1562.5
                0.09              0.4837              0.9215                3125
                 0.1              0.4837              0.9215                3125
                0.13              0.4669              0.9721                6250
                0.15              0.4669              0.9721                6250
                0.17              0.4669              0.9721                6250
                0.19              0.4669              0.9721                6250
                0.21              0.4669              0.9721                6250
