                leaf          error rate             true nn           subdomain
               0.015              0.4781              0.9488             390.672
                0.03              0.4677              0.9777             781.299
                0.06              0.4584              0.9921             1562.51
                0.09              0.4485               0.997             3124.97
                 0.1              0.4485               0.997             3124.97
                0.13              0.4435              0.9992             6249.99
                0.15              0.4435              0.9992             6249.99
                0.17              0.4435              0.9992             6249.99
                0.19              0.4435              0.9992             6249.99
                0.21              0.4435              0.9992             6249.99
