                leaf          error rate             true nn           subdomain
               0.015              0.4813              0.9424             390.651
                0.03              0.4678              0.9764             781.246
                0.06              0.4583              0.9928              1562.5
                0.09              0.4475               0.998                3125
                 0.1              0.4475               0.998                3125
                0.13               0.439              0.9996             6249.99
                0.15               0.439              0.9996             6249.99
                0.17               0.439              0.9996             6249.99
                0.19               0.439              0.9996             6249.99
                0.21               0.439              0.9996             6249.99
